Store_ID,Category,week_start,last_date,closing_stock_week,opening_stock_week,any_stockout,prev_closing,delta_stock,replenishment_flag,replenishment_qty,sales_units,approx_receipt
1,Accessories,2024-01-08,2024-01-12,364,87,0,0.0,364.0,1,364.0,38.0,402.0
1,Accessories,2024-02-05,2024-02-11,138,77,0,364.0,-226.0,0,0.0,45.0,45.0
1,Accessories,2024-02-12,2024-02-12,414,461,0,138.0,276.0,1,276.0,0.0,276.0
1,Accessories,2024-03-04,2024-03-10,238,296,0,414.0,-176.0,0,0.0,0.0,0.0
1,Accessories,2024-03-11,2024-03-12,323,88,0,238.0,85.0,1,85.0,32.0,117.0
1,Accessories,2024-04-08,2024-04-12,0,108,1,323.0,-323.0,0,0.0,11.0,11.0
1,Accessories,2024-05-06,2024-05-12,103,392,0,0.0,103.0,1,103.0,0.0,103.0
1,Accessories,2024-06-03,2024-06-09,433,465,0,103.0,330.0,1,330.0,0.0,330.0
1,Accessories,2024-06-10,2024-06-12,267,380,0,433.0,-166.0,0,0.0,24.0,24.0
1,Accessories,2024-07-08,2024-07-12,284,277,0,267.0,17.0,1,17.0,21.0,38.0
1,Accessories,2024-08-05,2024-08-11,45,66,0,284.0,-239.0,0,0.0,55.0,55.0
1,Accessories,2024-08-12,2024-08-12,279,321,0,45.0,234.0,1,234.0,0.0,234.0
1,Accessories,2024-09-09,2024-09-15,264,149,0,279.0,-15.0,0,0.0,14.0,14.0
1,Accessories,2024-09-16,2024-09-22,308,336,0,264.0,44.0,1,44.0,14.0,58.0
1,Accessories,2024-09-23,2024-09-29,88,190,0,308.0,-220.0,0,0.0,0.0,0.0
1,Accessories,2024-09-30,2024-09-30,440,470,0,88.0,352.0,1,352.0,0.0,352.0
1,Accessories,2024-10-07,2024-10-13,226,228,0,440.0,-214.0,0,0.0,0.0,0.0
1,Accessories,2024-10-14,2024-10-20,216,323,0,226.0,-10.0,0,0.0,38.0,38.0
1,Accessories,2024-10-21,2024-10-27,246,347,0,216.0,30.0,1,30.0,54.0,84.0
1,Accessories,2024-10-28,2024-10-31,300,481,0,246.0,54.0,1,54.0,80.0,134.0
1,Accessories,2024-11-04,2024-11-10,173,398,0,300.0,-127.0,0,0.0,0.0,0.0
1,Accessories,2024-11-11,2024-11-17,79,348,0,173.0,-94.0,0,0.0,21.0,21.0
1,Accessories,2024-11-18,2024-11-24,442,219,0,79.0,363.0,1,363.0,0.0,363.0
